respondent_id,stage,target_role,interview_types,last_interview,primary_pain,secondary_pain,current_tools,feedback_satisfaction,desired_feature,privacy_concern,try_intent,quote,data_status
S001,大三/大四,软件开发/算法,技术面|行为面,1个月内,题目与个人经历不匹配,不知道回答好不好,LeetCode|通用大模型|学长学姐,2,从简历项目追问,简历被保存,5,"我能找到题，但不知道这道题和目标岗位有什么关系。",synthetic_mock
S002,大三/大四,产品/运营,行为面|案例面,1–3个月前,AI反馈太泛,缺少真人陪练,通用大模型|朋友模拟,2,结构化可执行反馈,评分不准确,4,"每次都说要更有逻辑，但没有告诉我哪一句需要改。",synthetic_mock
S003,研一/研二,研究生/保研面试,科研面|行为面,3–12个月前,不知道目标岗位看重什么,不会应对追问,学长学姐|自己整理文档,3,按面试环节模拟,AI编造经历,5,"老师会一直追问实验细节，我很难提前练到。",synthetic_mock
S004,大二及以下,软件开发/算法,技术面,超过1年,不知道如何开始,练习后没有记录,通用大模型|题库网站,2,自动安排下一题,回答被保存,4,"我不是没有时间，而是每次练习都从零开始。",synthetic_mock
S005,大三/大四,数据分析/数据科学,技术面|案例面,3–12个月前,岗位技能和题目对不上,反馈不够具体,题库网站|通用大模型,3,按岗位技能匹配,评分不准确,4,"不同岗位的数据题差异很大，通用题库帮不上太多。",synthetic_mock
S006,大三/大四,软件开发/算法,技术面|压力面,1个月内,不知道如何应对压力面,容易紧张,朋友模拟|录音复盘,2,模拟不同面试官风格,压力模拟不适,5,"真正让我卡住的是连续追问，不是第一道题。",synthetic_mock
S007,大三/大四,产品/运营,行为面|HR面,1–3个月前,回答缺少具体证据,不会组织STAR,通用大模型|学长学姐,3,引用原话反馈,简历被保存,5,"我知道 STAR，但讲自己的项目时总是变成流水账。",synthetic_mock
S008,研一/研二,研究生/保研面试,科研面|压力面,3–12个月前,找不到高质量问题,不知道回答好不好,学长学姐|通用大模型,2,高频题与追问链,来源不可信,4,"网上的问题很多，但不知道哪些是真的常见。",synthetic_mock
S009,大三/大四,软件开发/算法,技术面|行为面,1个月内,不知道面试官评价标准,题目太泛,LeetCode|自己整理文档,2,展示评分标准,数据被训练,4,"如果能告诉我面试官在看什么，我会更知道怎么答。",synthetic_mock
S010,大三/大四,设计/用户研究,行为面|案例面,3–12个月前,缺少真人陪练,反馈太泛,朋友模拟|录音复盘,3,对话式连续追问,回答被保存,4,"我想练的是临场反应，不只是看一份参考答案。",synthetic_mock
S011,已毕业1年以内,软件开发/算法,技术面|行为面,1–3个月前,练习时间碎片化,没有进步记录,通用大模型|题库网站,3,3分钟快速训练,账号隐私,5,"通勤时如果能完成一题并知道下一步就很好。",synthetic_mock
S012,大三/大四,数据分析/数据科学,案例面|行为面,1个月内,不知道如何从JD准备,题目和经历不匹配,通用大模型|朋友模拟,2,JD到题目的解释,AI编造经历,5,"我希望它先帮我拆 JD，再告诉我该练什么。",synthetic_mock
S013,研一/研二,研究生/保研面试,科研面|行为面,3–12个月前,反馈缺少证据,不会处理反问,自己整理文档|学长学姐,3,回答证据高亮,资料被保存,4,"有时候我说得没错，但表达让老师听不出来。",synthetic_mock
S014,大三/大四,产品/运营,压力面|行为面,1–3个月前,不会应对追问,容易紧张,朋友模拟|通用大模型,2,压力模式和情绪提示,压力模拟不适,4,"希望它能逐渐加压，而不是一上来就像审问。",synthetic_mock
S015,大三/大四,软件开发/算法,技术面|行为面,1个月内,题目难度不合适,不知道回答好不好,LeetCode|通用大模型|录音复盘,3,按能力动态调难度,评分不准确,5,"我想知道自己应该练基础题，还是直接练项目深挖。",synthetic_mock
